,date,events
0,2020-05-26,3
1,2020-05-28,3
2,2020-05-29,37
3,2020-05-30,123
4,2020-05-31,150
5,2020-06-01,77
6,2020-06-02,55
7,2020-06-03,29
8,2020-06-04,32
9,2020-06-05,13
10,2020-06-06,11
11,2020-06-07,10
12,2020-06-08,3
13,2020-06-09,2
14,2020-06-11,1
15,2020-06-12,2
16,2020-06-13,4
17,2020-06-14,5
18,2020-06-15,3
19,2020-06-16,3
20,2020-06-17,1
21,2020-06-18,2
22,2020-06-19,2
23,2020-06-20,2
24,2020-06-21,6
25,2020-06-22,7
26,2020-06-23,8
27,2020-06-25,1
28,2020-06-26,11
29,2020-06-27,8
30,2020-06-28,11
31,2020-06-29,5
32,2020-06-30,7
33,2020-07-01,7
34,2020-07-02,5
35,2020-07-03,5
36,2020-07-04,4
37,2020-07-05,6
38,2020-07-06,2
39,2020-07-07,3
40,2020-07-08,1
41,2020-07-09,4
42,2020-07-10,2
43,2020-07-11,5
44,2020-07-12,13
45,2020-07-13,2
46,2020-07-14,2
47,2020-07-15,4
48,2020-07-16,10
49,2020-07-17,13
50,2020-07-18,20
51,2020-07-19,5
52,2020-07-20,8
53,2020-07-21,11
54,2020-07-22,16
55,2020-07-23,4
56,2020-07-24,16
57,2020-07-25,46
58,2020-07-26,17
59,2020-07-27,13
60,2020-07-28,7
61,2020-07-29,12
62,2020-07-30,5
63,2020-07-31,4
64,2020-08-01,7
65,2020-08-02,1
66,2020-08-03,3
67,2020-08-04,2
68,2020-08-05,3
69,2020-08-06,5
70,2020-08-07,6
71,2020-08-08,7
72,2020-08-09,3
73,2020-08-10,3
74,2020-08-11,1
75,2020-08-12,2
76,2020-08-13,6
77,2020-08-14,10
78,2020-08-15,20
79,2020-08-16,7
80,2020-08-17,1
81,2020-08-18,6
82,2020-08-19,7
83,2020-08-20,5
84,2020-08-21,7
85,2020-08-22,10
86,2020-08-23,6
87,2020-08-24,16
88,2020-08-25,8
89,2020-08-26,8
90,2020-08-28,3
91,2020-08-29,5
92,2020-08-30,4
93,2020-08-31,6
94,2020-09-01,2
95,2020-09-03,2
96,2020-09-04,4
97,2020-09-05,8
98,2020-09-07,3
99,2020-09-08,5
100,2020-09-12,4
101,2020-09-13,2
102,2020-09-15,1
103,2020-09-16,1
104,2020-09-17,2
105,2020-09-18,6
106,2020-09-19,1
107,2020-09-21,1
108,2020-09-23,27
109,2020-09-24,2
110,2020-09-25,4
111,2020-09-26,9
112,2020-09-28,6
113,2020-10-02,1
114,2020-10-03,3
115,2020-10-04,2
116,2020-10-05,1
117,2020-10-06,2
118,2020-10-07,2
119,2020-10-08,1
120,2020-10-09,2
121,2020-10-10,1
122,2020-10-12,1
123,2020-10-13,1
124,2020-10-17,7
125,2020-10-18,1
126,2020-10-20,5
127,2020-10-21,2
128,2020-10-22,1
129,2020-10-27,12
130,2020-10-28,8
131,2020-10-31,4
132,2020-11-01,1
133,2020-11-03,2
134,2020-11-04,12
135,2020-11-08,1
