,State,Pop. Millions
0,AL,5.0
1,AK,1.0
2,AZ,7.0
3,AR,3.0
4,CA,39.0
5,CO,6.0
6,CT,4.0
7,DE,1.0
8,DC,1.0
9,FL,21.0
10,GA,10.0
11,HI,1.0
12,ID,2.0
13,IL,13.0
14,IN,7.0
15,IA,3.0
16,KS,3.0
17,KY,4.0
18,LA,5.0
19,ME,1.0
20,MD,6.0
21,MA,7.0
22,MI,10.0
23,MN,6.0
24,MS,3.0
25,MO,6.0
26,MT,1.0
27,NE,2.0
28,NV,3.0
29,NH,1.0
30,NJ,9.0
31,NM,2.0
32,NY,20.0
33,NC,10.0
34,ND,1.0
35,OH,12.0
36,OK,4.0
37,OR,4.0
38,PA,13.0
39,RI,1.0
40,SC,5.0
41,SD,1.0
42,TN,7.0
43,TX,28.0
44,UT,3.0
45,VT,1.0
46,VA,8.0
47,WA,7.0
48,WV,2.0
49,WI,6.0
50,WY,1.0
